106.5,1718.1,99.316,1717.9,297.56
733.61,612.83,734.68,614.36,100.01
1786.6,1311.4,1786.7,1312.7,138.4
1858.2,494.87,1859.7,496.27,99.926
1353.3,1358.7,1351.5,1360.8,129.94
1819.1,248.99,1820,250.82,139.73
728.5,58.487,725.36,63.521,236.8
1269.2,1320.1,1268.8,1321.2,50.879
1010.9,886.67,1009.2,888.72,152.39
1895.8,519.17,1899.4,517.05,258.76
200.15,93.465,203.25,94.626,131.34
1774.2,729.17,1774.8,728.01,56.129
1245.2,1370.1,1247.2,1372.4,119.34
673.87,1402.1,675.24,1406.3,194.67
764.27,210.67,761,208.37,247.19
969.87,1020.2,968.04,1023.6,161.2
991.07,776.48,989.39,775.88,80.452
1772,373.74,1773.1,373.81,58.598
381.26,1685.9,381.38,1687,58.75
776.51,1103.4,779.27,1105.1,164.24
534.72,1142.5,535.09,1142.6,16.169
1522.6,1056.3,1521.2,1057,64.545
1041.5,340.9,1040.9,343.04,90.287
994.59,406.01,993.68,405.91,36.55
97.349,380.08,96.741,377.86,91.636
421.61,1377.6,429.23,1375.5,390.92
413.07,1720.1,412.23,1721.6,76.288
1587.8,936.5,1585.3,936.89,97.905
517.5,1234.9,515.95,1232.1,159.75
616.05,1712.2,617.92,1711.9,91.329
593.28,1356.3,595.31,1355.8,86.974
1816.3,779.09,1812.9,781.2,194.49
993.16,306.77,991.66,305.34,82.271
264.72,548.09,271.3,546.42,271.98
647.9,454.09,649.01,454.82,359.77
1411.1,836.61,1410.4,834.67,83.929
691.52,699.46,693.07,699.59,119.65
922.48,612.92,921.73,611.36,157.94
951.26,705.26,954.42,706.52,136.88
1413.9,469.91,1415.1,465.7,173.74
1526.5,831.05,1526.1,830.67,55.658
